Year,Country,CountryCode,Activity,Value,ISO_Code,New code,new top 30
2004,Australia,36,Total manufacturing,235620855136.08,AUS,4,1
2004,Austria,40,Total manufacturing,146025234335.54,AUT,5,1
2004,Belgium,56,Total manufacturing,505510358912.85,BEL,9,1
2004,Brazil,76,Total manufacturing,369524387896.7,BRA,15,1
2004,Canada,124,Total manufacturing,448650961897.57,CAN,22,1
2004,China,156,Total manufacturing,2243089812114.61,CHN,27,1
2004,Colombia,170,Total manufacturing,38088415171.85,COL,28,1
2004,Denmark,208,Total manufacturing,88580404092.3,DNK,36,1
2004,Finland,246,Total manufacturing,119710867269.13,FIN,44,1
2004,France,250,Total manufacturing,1065398498242.25,FRA,45,1
2004,Germany,276,Total manufacturing,1753734819415.64,DEU,49,1
2004,Greece,300,Total manufacturing,54582536070.04,GRC,51,1
2004,India,356,Total manufacturing,357620236422.66,IND,57,1
2004,Indonesia,360,Total manufacturing,110298984307.52,IDN,58,1
2004,Ireland,372,Total manufacturing,126888058247.57,IRL,60,1
2004,Italy,380,Total manufacturing,1032121430934.84,ITA,62,1
2004,Japan,392,Total manufacturing,2624145126123.64,JPN,63,1
2004,Republic of Korea,410,Total manufacturing,693438203604.62,KOR,67,1
2004,Mexico,484,Total manufacturing,224254598653.35,MEX,85,1
2004,Norway,578,Total manufacturing,71476354684.89,NOR,95,1
2004,Poland,616,Total manufacturing,166563638267.5,POL,101,1
2004,Portugal,620,Total manufacturing,86715006633.11,PRT,102,1
2004,Russian Federation,643,Total manufacturing,285467885427.72,RUS,104,1
2004,Spain,724,Total manufacturing,531005728789.61,ESP,113,1
2004,Sweden,752,Total manufacturing,201613251095.03,SWE,117,1
2004,Switzerland,756,Total manufacturing,173530877678.74,CHE,118,1
2004,Thailand,764,Total manufacturing,167935895029.28,THA,122,1
2004,Türkiye,792,Total manufacturing,200156463417.38,TUR,125,1
2004,United Kingdom,826,Total manufacturing,782734629609.29,GBR,128,1
2004,United States of America,840,Total manufacturing,4306647000000.0,USA,129,1
