value,exporter,importer
41822954.0,AUS,AUT
226078756.0,AUS,BEL
199027444.0,AUS,BRA
1047131658.0,AUS,CAN
19950082890.0,AUS,CHN
55962832.0,AUS,COL
156163816.0,AUS,DNK
32250153.0,AUS,FIN
392254203.0,AUS,FRA
684810987.0,AUS,DEU
19427169.0,AUS,GRC
1872583911.0,AUS,IDN
71699304.0,AUS,IRL
394764389.0,AUS,ITA
3221593601.0,AUS,JPN
1955863663.0,AUS,KOR
90663748.0,AUS,MEX
103222520.0,AUS,NOR
100893449.0,AUS,POL
18587573.0,AUS,PRT
508069863.0,AUS,RUS
4564241110.0,AUS,IND
226316028.0,AUS,ESP
75924075.0,AUS,SWE
1578033903.0,AUS,CHE
3137745770.0,AUS,THA
2588397198.0,AUS,TUR
4074315439.0,AUS,GBR
5987860412.0,AUS,USA
1249937398.0,AUT,AUS
1851047567.0,AUT,BEL
900498734.0,AUT,BRA
1442700648.0,AUT,CAN
4918595966.0,AUT,CHN
168792711.0,AUT,COL
760048265.0,AUT,DNK
641972293.0,AUT,FIN
7352534479.0,AUT,FRA
41379290877.0,AUT,DEU
477979288.0,AUT,GRC
346410080.0,AUT,IDN
341698774.0,AUT,IRL
8491004788.0,AUT,ITA
1581172124.0,AUT,JPN
1499004129.0,AUT,KOR
1090321662.0,AUT,MEX
585739436.0,AUT,NOR
4401369156.0,AUT,POL
454413033.0,AUT,PRT
2203576887.0,AUT,RUS
935151432.0,AUT,IND
2469745155.0,AUT,ESP
1797856566.0,AUT,SWE
7271544405.0,AUT,CHE
347421578.0,AUT,THA
1441414525.0,AUT,TUR
4223348566.0,AUT,GBR
10122630637.0,AUT,USA
1459495104.0,BEL,AUS
2332005424.0,BEL,AUT
1489455558.0,BEL,BRA
1717379968.0,BEL,CAN
6639054093.0,BEL,CHN
247858134.0,BEL,COL
2528731135.0,BEL,DNK
1157535359.0,BEL,FIN
27013318780.0,BEL,FRA
36446665392.0,BEL,DEU
1509662067.0,BEL,GRC
569480998.0,BEL,IDN
1505059529.0,BEL,IRL
18084142976.0,BEL,ITA
2548599486.0,BEL,JPN
1134585765.0,BEL,KOR
852537608.0,BEL,MEX
986529589.0,BEL,NOR
5728070804.0,BEL,POL
1897107704.0,BEL,PRT
2996903158.0,BEL,RUS
6609993579.0,BEL,IND
7615258768.0,BEL,ESP
6182349759.0,BEL,SWE
4370925858.0,BEL,CHE
1137157365.0,BEL,THA
3640235249.0,BEL,TUR
26341996187.0,BEL,GBR
11953351584.0,BEL,USA
420806453.0,BRA,AUS
207498874.0,BRA,AUT
1746306943.0,BRA,BEL
2228803302.0,BRA,CAN
6697164038.0,BRA,CHN
