iso_o,iso_d,border,dist,importer,exporter,distbin,bin375,bin750,bin1500,bin3000,bin6000,binmax
AUS,AUS,0,648.1148,1,1,2.0,0,1,0,0,0,0
AUS,AUT,0,9937.199,2,1,6.0,0,0,0,0,0,1
AUS,BEL,0,10416.159,3,1,6.0,0,0,0,0,0,1
AUS,BRA,0,8310.602,4,1,6.0,0,0,0,0,0,1
AUS,CAN,0,9687.172,5,1,6.0,0,0,0,0,0,1
AUS,CHN,0,5566.461,6,1,5.0,0,0,0,0,1,0
AUS,COL,0,8862.926,7,1,6.0,0,0,0,0,0,1
AUS,DNK,0,9977.6875,8,1,6.0,0,0,0,0,0,1
AUS,FIN,0,9453.953,9,1,6.0,0,0,0,0,0,1
AUS,FRA,0,10550.319,10,1,6.0,0,0,0,0,0,1
AUS,DEU,0,10293.801,11,1,6.0,0,0,0,0,0,1
AUS,GRC,0,9532.428,12,1,6.0,0,0,0,0,0,1
AUS,IND,0,6485.46,13,1,6.0,0,0,0,0,0,1
AUS,IDN,0,3425.6694,14,1,5.0,0,0,0,0,1,0
AUS,IRL,0,10708.827,15,1,6.0,0,0,0,0,0,1
AUS,ITA,0,10151.184,16,1,6.0,0,0,0,0,0,1
AUS,JPN,0,4867.276,17,1,5.0,0,0,0,0,1,0
AUS,KOR,0,5176.9126,18,1,5.0,0,0,0,0,1,0
AUS,MEX,0,8070.339,19,1,6.0,0,0,0,0,0,1
AUS,NOR,0,9921.399,20,1,6.0,0,0,0,0,0,1
AUS,POL,0,9700.239,21,1,6.0,0,0,0,0,0,1
AUS,PRT,0,11305.543,22,1,6.0,0,0,0,0,0,1
AUS,RUS,0,9013.716,23,1,6.0,0,0,0,0,0,1
AUS,ESP,0,11000.282,24,1,6.0,0,0,0,0,0,1
AUS,SWE,0,9700.999,25,1,6.0,0,0,0,0,0,1
AUS,CHE,0,10362.464,26,1,6.0,0,0,0,0,0,1
AUS,THA,0,4685.8423,27,1,5.0,0,0,0,0,1,0
AUS,TUR,0,9297.8955,28,1,6.0,0,0,0,0,0,1
AUS,GBR,0,10572.572,29,1,6.0,0,0,0,0,0,1
AUS,USA,0,9949.53,30,1,6.0,0,0,0,0,0,1
AUT,AUS,0,9937.199,1,2,6.0,0,0,0,0,0,1
