importer,exporter,year,tariff
AUS,AUT,2004,3.2924268
AUS,BEL,2004,3.2924268
AUS,BRA,2004,2.517261
AUS,CAN,2004,3.014885
AUS,CHE,2004,3.2924268
AUS,CHN,2004,3.0265994
AUS,COL,2004,2.8854072
AUS,DEU,2004,3.2924268
AUS,DNK,2004,3.2924268
AUS,ESP,2004,3.2924268
AUS,FIN,2004,3.2924268
AUS,FRA,2004,3.2924268
AUS,GBR,2004,3.2924268
AUS,GRC,2004,3.2924268
AUS,IDN,2004,3.0265994
AUS,IND,2004,2.8854072
AUS,IRL,2004,3.2924268
AUS,ITA,2004,3.2924268
AUS,JPN,2004,3.2924268
AUS,KOR,2004,2.9078643
AUS,MEX,2004,2.910993
AUS,NOR,2004,3.2924268
AUS,POL,2004,2.8854072
AUS,PRT,2004,3.2924268
AUS,RUS,2004,3.2924268
AUS,SWE,2004,3.2924268
AUS,THA,2004,3.0265994
AUS,TUR,2004,2.8854072
AUS,USA,2004,3.2924268
AUT,AUS,2004,4.9181705
AUT,BEL,2004,0.0
AUT,BRA,2004,1.8119465
AUT,CAN,2004,4.9181705
AUT,CHE,2004,2.3177946
AUT,CHN,2004,2.1838412
AUT,COL,2004,0.5596634
AUT,DEU,2004,0.0
AUT,DNK,2004,0.0
AUT,ESP,2004,0.0
AUT,FIN,2004,0.0
AUT,FRA,2004,0.0
AUT,GBR,2004,0.0
AUT,GRC,2004,0.0
AUT,IDN,2004,1.8073233
AUT,IND,2004,1.7911806
AUT,IRL,2004,0.0
AUT,ITA,2004,0.0
AUT,JPN,2004,4.9181705
AUT,KOR,2004,4.9181705
AUT,MEX,2004,0.72552353
AUT,NOR,2004,1.8065997
AUT,POL,2004,0.0
AUT,PRT,2004,0.0
AUT,RUS,2004,3.240001
AUT,SWE,2004,0.0
AUT,THA,2004,1.809774
AUT,TUR,2004,0.47697222
AUT,USA,2004,4.9181705
BEL,AUS,2004,4.847303
BEL,AUT,2004,0.0
BEL,BRA,2004,1.7351084
BEL,CAN,2004,4.847303
BEL,CHE,2004,2.2935224
BEL,CHN,2004,2.1069844
BEL,COL,2004,0.5343464
BEL,DEU,2004,0.0
BEL,DNK,2004,0.0
BEL,ESP,2004,0.0
BEL,FIN,2004,0.0
BEL,FRA,2004,0.0
BEL,GBR,2004,0.0
BEL,GRC,2004,0.0
BEL,IDN,2004,1.7304641
BEL,IND,2004,1.7141907
BEL,IRL,2004,0.0
BEL,ITA,2004,0.0
BEL,JPN,2004,4.847303
BEL,KOR,2004,4.847303
BEL,MEX,2004,0.6530587
BEL,NOR,2004,1.7295152
BEL,POL,2004,0.0
BEL,PRT,2004,0.0
BEL,RUS,2004,3.1636229
BEL,SWE,2004,0.0
BEL,THA,2004,1.732933
BEL,TUR,2004,0.3981811
BEL,USA,2004,4.847303
BRA,AUS,2004,11.877128
BRA,AUT,2004,11.877128
BRA,BEL,2004,11.877128
BRA,CAN,2004,11.877128
BRA,CHE,2004,11.877128
BRA,CHN,2004,11.877128
BRA,COL,2004,7.783921
BRA,DEU,2004,11.877128
BRA,DNK,2004,11.877128
BRA,ESP,2004,11.877128
BRA,FIN,2004,11.877128
BRA,FRA,2004,11.877128
BRA,GBR,2004,11.877128
BRA,GRC,2004,11.877128
BRA,IDN,2004,11.856014
BRA,IND,2004,11.856646
BRA,IRL,2004,11.877128
BRA,ITA,2004,11.877128
BRA,JPN,2004,11.877128
BRA,KOR,2004,11.856014
BRA,MEX,2004,8.680958
BRA,NOR,2004,11.877128
BRA,POL,2004,11.877128
BRA,PRT,2004,11.877128
BRA,RUS,2004,11.877128
BRA,SWE,2004,11.877128
BRA,THA,2004,11.856014
BRA,TUR,2004,11.877128
BRA,USA,2004,11.877128
CAN,AUS,2004,3.5692976
CAN,AUT,2004,3.920897
CAN,BEL,2004,3.920897
CAN,BRA,2004,2.4001987
CAN,CHE,2004,3.920897
CAN,CHN,2004,2.4001994
CAN,COL,2004,2.5782623
CAN,DEU,2004,3.920897
CAN,DNK,2004,3.920897
CAN,ESP,2004,3.920897
CAN,FIN,2004,3.920897
CAN,FRA,2004,3.920897
CAN,GBR,2004,3.920897
CAN,GRC,2004,3.920897
