iso_o,iso_d,tradeshare,norm_tradeshare,border,dist,importer,exporter,distbin,bin375,bin750,bin1500,bin3000,bin6000,binmax
AUS,AUS,0.7321227532102839,1.0,0,648.1148,1,1,2.0,0,1,0,0,0,0
AUS,AUT,0.00040931862532055563,0.0008330200629657716,0,9937.199,2,1,6.0,0,0,0,0,0,1
AUS,BEL,0.0009350131526337314,0.0023807480315754465,0,10416.159,3,1,6.0,0,0,0,0,0,1
AUS,BRA,0.0002505968879483334,0.0002822341818506788,0,8310.602,4,1,6.0,0,0,0,0,0,1
AUS,CAN,0.0015660276762765799,0.0030998442440571105,0,9687.172,5,1,6.0,0,0,0,0,0,1
AUS,CHN,0.002153266699504563,0.002624533219029274,0,5566.461,6,1,5.0,0,0,0,0,1,0
AUS,COL,0.0002638923199073641,0.0003544883849016315,0,8862.926,7,1,6.0,0,0,0,0,0,1
AUS,DNK,0.0011807031490794137,0.0027267265515430344,0,9977.6875,8,1,6.0,0,0,0,0,0,1
AUS,FIN,0.0003046852594989814,0.0004475416673553454,0,9453.953,9,1,6.0,0,0,0,0,0,1
AUS,FRA,0.00045450795294774566,0.0006498727354001929,0,10550.319,10,1,6.0,0,0,0,0,0,1
AUS,DEU,0.0005908111401214393,0.0008552798736619468,0,10293.801,11,1,6.0,0,0,0,0,0,1
AUS,GRC,0.00043972548488252765,0.0008027690097225037,0,9532.428,12,1,6.0,0,0,0,0,0,1
AUS,IND,0.0059044474373939,0.006724960407125178,0,6485.46,13,1,6.0,0,0,0,0,0,1
AUS,IDN,0.010309992610612365,0.014240757724036907,0,3425.6694,14,1,5.0,0,0,0,0,1,0
AUS,IRL,0.0025896378571805758,0.01817125643998072,0,10708.827,15,1,6.0,0,0,0,0,0,1
AUS,ITA,0.0005634493021582545,0.0007390115533770163,0,10151.184,16,1,6.0,0,0,0,0,0,1
AUS,JPN,0.0021317284162287657,0.002382370502905996,0,4867.276,17,1,5.0,0,0,0,0,1,0
AUS,KOR,0.004388436361377187,0.0055559503302536764,0,5176.9126,18,1,5.0,0,0,0,0,1,0
AUS,MEX,0.0007950252234800258,0.0024775251818059296,0,8070.339,19,1,6.0,0,0,0,0,0,1
AUS,NOR,0.0004202887722398025,0.0007444325988713601,0,9921.399,20,1,6.0,0,0,0,0,0,1
AUS,POL,0.00028241780543685803,0.0004343456463879826,0,9700.239,21,1,6.0,0,0,0,0,0,1
AUS,PRT,0.00021908539529760261,0.0003858145682982205,0,11305.543,22,1,6.0,0,0,0,0,0,1
AUS,RUS,0.0002618646823032108,0.000312682780099361,0,9013.716,23,1,6.0,0,0,0,0,0,1
AUS,ESP,0.0004675751533944025,0.0006909403350487099,0,11000.282,24,1,6.0,0,0,0,0,0,1
AUS,SWE,0.00056819324989138,0.0009778948363215452,0,9700.999,25,1,6.0,0,0,0,0,0,1
AUS,CHE,0.0007568476631065377,0.001717245677337736,0,10362.464,26,1,6.0,0,0,0,0,0,1
AUS,THA,0.009689323844190198,0.013951555991896155,0,4685.8423,27,1,5.0,0,0,0,0,1,0
AUS,TUR,0.0006807128499416968,0.0009526032349444892,0,9297.8955,28,1,6.0,0,0,0,0,0,1
