θ,J,p10,p90,Jpercentile,model_moment,data_moment,model,method,year,source_file,sigma,identification,model_moment_1,data_moment_1,model_moment_2,data_moment_2,model_moment_3,data_moment_3
2.82,0.00,2.73,2.93,0.25,0.93,0.93,bejk,exact,2004,bejk-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
2.73,0.00,2.66,2.85,0.70,0.98,0.98,bejk,exact,2011,bejk-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
2.87,0.00,2.76,3.00,0.82,0.91,0.91,bejk,exact,2017,bejk-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
3.07,0.00,2.95,3.17,0.39,0.93,0.93,bejk,exact,2004,bejk-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
2.99,0.00,2.89,3.09,0.52,0.98,0.98,bejk,exact,2011,bejk-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
3.12,0.00,3.00,3.22,0.85,0.91,0.91,bejk,exact,2017,bejk-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
3.28,0.00,3.13,3.36,0.63,0.93,0.93,bejk,exact,2004,bejk-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
3.19,0.00,3.08,3.30,0.89,0.98,0.98,bejk,exact,2011,bejk-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
3.33,0.00,3.21,3.43,0.31,0.91,0.91,bejk,exact,2017,bejk-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
3.28,0.00,3.13,3.36,0.63,0.93,0.93,bejk,exact,2004,bejk-estimate-exact-2626-sigma25.csv,2.50,exact,,,,,,
3.19,0.00,3.08,3.30,0.89,0.98,0.98,bejk,exact,2011,bejk-estimate-exact-2626-sigma25.csv,2.50,exact,,,,,,
3.33,0.00,3.21,3.43,0.31,0.91,0.91,bejk,exact,2017,bejk-estimate-exact-2626-sigma25.csv,2.50,exact,,,,,,
3.43,0.00,3.28,3.53,0.23,0.93,0.93,bejk,exact,2004,bejk-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
3.33,0.00,3.22,3.45,0.40,0.98,0.98,bejk,exact,2011,bejk-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
3.49,0.00,3.36,3.61,0.06,0.91,0.91,bejk,exact,2017,bejk-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
