θ,J,p10,p90,Jpercentile,model_moment,data_moment,model,method,year,source_file,sigma,identification,model_moment_1,data_moment_1,model_moment_2,data_moment_2,model_moment_3,data_moment_3
1.65,0.00,1.51,1.80,0.58,0.93,0.93,melitz-model2,exact,2004,melitz-model2-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
1.50,0.03,1.38,1.58,1.00,0.98,0.98,melitz-model2,exact,2011,melitz-model2-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
1.50,16.41,1.35,1.78,0.98,0.77,0.91,melitz-model2,exact,2017,melitz-model2-estimate-exact-21126-sigma15.csv,1.50,exact,,,,,,
2.12,0.00,1.98,2.33,0.26,0.93,0.93,melitz-model2,exact,2004,melitz-model2-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
2.05,0.00,1.90,2.18,0.24,0.98,0.98,melitz-model2,exact,2011,melitz-model2-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
2.02,0.00,1.88,2.16,0.23,0.91,0.91,melitz-model2,exact,2017,melitz-model2-estimate-exact-21126-sigma20.csv,2.00,exact,,,,,,
2.47,0.00,2.32,2.73,0.51,0.93,0.93,melitz-model2,exact,2004,melitz-model2-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
2.46,0.00,2.32,2.61,0.37,0.98,0.98,melitz-model2,exact,2011,melitz-model2-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
2.45,0.00,2.28,2.61,0.82,0.91,0.91,melitz-model2,exact,2017,melitz-model2-estimate-exact-21126-sigma25.csv,2.50,exact,,,,,,
2.77,0.00,2.53,3.02,0.21,0.93,0.93,melitz-model2,exact,2004,melitz-model2-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
2.79,0.00,2.57,2.98,0.49,0.98,0.98,melitz-model2,exact,2011,melitz-model2-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
2.82,0.00,2.60,3.01,0.17,0.91,0.91,melitz-model2,exact,2017,melitz-model2-estimate-exact-21126-sigma30.csv,3.00,exact,,,,,,
